Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
1,46.01368484091691,46.555578134525504,45.887622149837135
2,45.47106032943369,46.58605974395448,45.806188925081436
3,46.66898448578091,47.64275553749238,46.101384364820845
4,46.613466043646596,47.47002641739484,46.416938110749186
5,46.777472982541724,47.59195285511075,46.62052117263843
6,46.47476095215038,47.317618370249946,46.589983713355046
7,46.78748450489381,47.927250558829506,46.589983713355046
8,46.61273793293008,47.5716317821581,46.13192182410423
9,46.68463886618599,47.652916073968704,46.12174267100977
10,46.79786008260416,47.53098963625279,46.539087947882734
11,46.766005238756605,47.47002641739484,46.976791530944624
12,46.381198725078136,46.63686242633611,45.83672638436482
15,46.57706050782082,47.3785815891079,46.70195439739414
18,46.593807054300676,47.49034749034749,46.55944625407166
21,46.48076786556164,46.52509652509652,46.15228013029316
27,46.55266879881755,47.602113391587075,46.457654723127035
30,47.01137855022235,47.785003048160945,47.0378664495114
